year,film,won_oscar,won_gg,won_bafta
1951,An American in Paris,True,True,False
1951,Decision before Dawn,False,False,False
1951,A Place in the Sun,False,True,False
1951,Quo Vadis,False,False,False
1951,A Streetcar Named Desire,False,False,False
1952,The Greatest Show on Earth,True,True,False
1952,High Noon,False,False,False
1952,Ivanhoe,False,False,False
1952,Moulin Rouge,False,False,False
1952,The Quiet Man,False,False,False
1953,From Here to Eternity,True,False,False
1953,Julius Caesar,False,False,False
1953,The Robe,False,True,False
1953,Roman Holiday,False,False,False
1953,Shane,False,False,False
1954,The Caine Mutiny,False,False,False
1954,The Country Girl,False,False,False
1954,On the Waterfront,True,True,False
1954,Seven Brides for Seven Brothers,False,False,False
1954,Three Coins in the Fountain,False,False,False
1955,Love Is a Many-Splendored Thing,False,False,False
1955,Marty,True,False,False
1955,Mister Roberts,False,False,False
1955,Picnic,False,False,False
1955,The Rose Tattoo,False,False,False
1956,Around the World in 80 Days,True,True,False
1956,Friendly Persuasion,False,False,False
1956,Giant,False,False,False
1956,The King and I,False,True,False
1956,The Ten Commandments,False,False,False
1957,The Bridge on the River Kwai,True,True,True
1957,Peyton Place,False,False,False
1957,Sayonara,False,False,False
1957,12 Angry Men,False,False,False
1957,Witness for the Prosecution,False,False,False
1958,Auntie Mame,False,False,False
1958,Cat on a Hot Tin Roof,False,False,False
1958,The Defiant Ones,False,True,False
1958,Gigi,True,False,False
1958,Separate Tables,False,False,False
1959,Anatomy of a Murder,False,False,False
1959,Ben-Hur,True,True,False
1959,The Diary of Anne Frank,False,False,False
1959,The Nun's Story,False,False,False
1959,Room at the Top,False,False,False
1960,The Alamo,False,False,False
1960,The Apartment,True,False,True
1960,Elmer Gantry,False,False,False
1960,Sons and Lovers,False,False,False
1960,The Sundowners,False,False,False
1961,Fanny,False,False,False
1961,The Guns of Navarone,False,True,False
1961,The Hustler,False,False,True
1961,Judgment at Nuremberg,False,False,False
1961,West Side Story,True,False,False
1962,Lawrence of Arabia,True,True,True
1962,The Longest Day,False,False,False
1962,Meredith Willson's The Music Man,False,False,False
1962,Mutiny on the Bounty,False,False,False
1962,To Kill a Mockingbird,False,False,False
1963,America America,False,False,False
1963,Cleopatra,False,False,False
1963,How the West Was Won,False,False,False
1963,Lilies of the Field,False,False,False
1963,Tom Jones,True,True,True
1964,Becket,False,True,False
1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,False,False,True
1964,Mary Poppins,False,False,False
1964,My Fair Lady,True,True,False
1964,Zorba the Greek,False,False,False
1965,Darling,False,False,False
1965,Doctor Zhivago,False,True,False
1965,Ship of Fools,False,False,False
1965,The Sound of Music,True,True,False
1965,A Thousand Clowns,False,False,False
1966,Alfie,False,False,False
1966,A Man for All Seasons,True,True,False
1966,The Russians Are Coming The Russians Are Coming,False,True,False
1966,The Sand Pebbles,False,False,False
1966,Who's Afraid of Virginia Woolf?,False,False,True
1967,Bonnie and Clyde,False,False,False
1967,Doctor Dolittle,False,False,False
1967,The Graduate,False,True,False
1967,Guess Who's Coming to Dinner,False,False,False
1967,In the Heat of the Night,True,True,False
1968,Funny Girl,False,False,False
1968,The Lion in Winter,False,True,False
1968,Oliver!,True,True,False
